id,source_id,destination_id,timestamp,created_at,transportation_mode,value
37,33,36,2025-02-04 06:48:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.14276272306675492
38,36,28,2025-02-04 08:09:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.23863636363636365
39,47,19,2025-01-27 20:53:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.1260115606936417
40,19,59,2025-01-27 23:28:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.2817460317460318
41,24,52,2025-01-29 05:08:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.05641251652710446
42,52,28,2025-01-29 08:30:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.12191780821917826
43,46,3,2025-02-05 11:14:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
44,24,52,2025-02-09 19:30:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00617011899515178
45,52,28,2025-02-10 08:27:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.11164383561643844
46,33,36,2025-01-31 06:06:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.12538540596094555
47,36,28,2025-01-31 08:19:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.24005681818181826
48,33,36,2025-02-17 05:11:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.04307692307692312
49,36,28,2025-02-17 06:14:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.17045454545454558
50,21,15,2025-01-31 19:45:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.03527691464083345
51,60,14,2025-02-03 01:56:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
52,14,28,2025-02-03 05:02:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.04209919261822365
53,33,36,2025-02-07 06:13:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.13566289825282615
54,36,28,2025-02-07 09:18:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.2244318181818181
55,12,19,2025-02-08 16:58:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.06589595375722558
56,24,52,2025-02-12 01:47:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00022036139268386004
57,52,28,2025-02-12 08:01:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.1376712328767125
58,9,6,2025-02-14 15:29:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0016192261803306435
59,55,45,2025-02-15 21:33:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
60,33,36,2025-02-17 03:11:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.003768413840356328
61,36,28,2025-02-17 08:11:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.21093750000000006
62,28,15,2025-02-12 18:35:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.05209285322610122
63,14,28,2025-02-13 04:40:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.025374855824682747
64,30,3,2025-02-21 12:43:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
65,10,24,2025-02-22 23:17:00+00:00,2025-07-19T11:32:33+00:00,RAIL,0.0022004459570473573
66,24,52,2025-02-23 20:29:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00022036139268386004
67,52,28,2025-02-24 08:50:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.10684931506849331
68,24,52,2025-02-23 20:29:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00022036139268386004
69,52,28,2025-02-25 08:21:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.1232876712328767
70,9,6,2025-02-26 10:14:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00012780097128740176
71,33,36,2025-02-28 06:15:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.13977389516957883
72,36,28,2025-02-28 08:55:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.2230113636363636
73,54,37,2025-02-28 18:18:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01743447638840776
74,60,14,2025-03-03 02:40:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
75,14,28,2025-03-03 05:35:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.09457900807381779
76,54,37,2025-03-03 18:18:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01743447638840776
77,14,28,2025-03-06 05:20:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.07843137254901965
78,60,14,2025-03-03 02:40:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
79,14,28,2025-03-03 05:37:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.09861591695501727
80,33,36,2025-03-14 06:20:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.14628297362110312
81,36,28,2025-03-14 10:57:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.23934659090909102
82,24,52,2025-04-03 05:36:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.27038342882327016
83,52,28,2025-04-03 07:18:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.14657534246575363
84,33,36,2025-03-17 03:56:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.008564576909900758
85,36,28,2025-03-17 08:17:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.20667613636363633
86,9,6,2025-03-20 10:22:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00012780097128740176
87,33,36,2025-03-24 03:23:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00445357999314835
88,36,28,2025-03-24 08:24:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.20312499999999997
89,60,14,2025-03-17 02:57:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0045402951191826635
90,14,28,2025-03-17 06:01:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.16608996539792378
91,54,37,2025-03-17 17:18:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01743447638840776
92,14,28,2025-03-19 05:36:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.11361014994232987
93,9,6,2025-03-20 14:30:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0006816051801994761
94,33,36,2025-03-24 03:23:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.00445357999314835
95,36,28,2025-03-24 08:24:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.20312499999999997
96,9,6,2025-04-02 14:49:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0010650080940615451
97,33,36,2025-04-04 05:14:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.1366906474820144
98,36,28,2025-04-04 07:24:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.23579545454545453
99,54,37,2025-04-10 20:27:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.023322941923565363
100,60,14,2025-04-14 02:09:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.006810442678773824
101,14,28,2025-04-14 04:35:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.09457900807381779
102,60,14,2025-04-17 02:20:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.007945516458569576
103,14,28,2025-04-17 04:15:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.06862745098039205
104,9,6,2025-04-17 03:13:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.020107352815881413
105,33,36,2025-04-18 06:11:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.11996034368803701
106,36,28,2025-04-18 07:36:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.22798295454545472
107,60,14,2025-05-12 01:42:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
108,14,28,2025-05-12 04:34:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.09111880046136096
109,54,37,2025-04-28 17:10:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01731901627987524
110,14,28,2025-04-30 03:57:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.03748558246828129
111,54,37,2025-05-02 17:10:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01731901627987524
112,60,14,2025-05-05 02:41:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01021566401816119
113,14,28,2025-05-05 05:11:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.19896193771626294
114,54,37,2025-05-08 17:18:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.01812723703960288
115,60,14,2025-05-12 01:42:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
116,14,28,2025-05-12 04:37:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.09861591695501727
117,2,37,2025-05-07 14:22:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0187045375822653
118,60,14,2025-05-09 01:54:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0022701475595915017
119,14,28,2025-05-09 03:49:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.025951557093425396
120,54,37,2025-05-08 20:27:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.023322941923565363
121,60,14,2025-05-12 01:42:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
122,14,28,2025-05-12 04:23:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.06862745098039205
123,60,14,2025-05-09 01:54:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0022701475595915017
124,14,28,2025-05-09 03:45:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.023068050749711452
125,60,14,2025-05-09 03:22:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.014755959137343854
126,14,28,2025-05-09 03:45:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.023068050749711452
127,60,14,2025-05-12 01:42:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
128,14,28,2025-05-12 04:36:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.09688581314878886
129,54,37,2025-05-09 20:27:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.020205518993187874
130,60,14,2025-05-12 01:42:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.0
131,14,28,2025-05-12 04:27:00+00:00,2025-07-19T11:32:33+00:00,ROAD,0.07785467128027676
